MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
01192,04.03.67,04.03.59, , , ,
01193,04.03.68,04.03.60, , , ,
82008,04.03.69a,04.03.71a, , , ,
82009,04.03.69b,04.03.71b, , , ,
82914,04.03.70,..,..,..,..,new
80316,04.03.71,04.03.67, , , ,
80317,04.03.72,04.03.68, , , ,
01194,04.03.73,..,04.03.71, , ,
01195,04.03.74a,..,04.03.72a, , ,
40391,04.03.74b,..,04.03.72b, , ,
01196,04.03.75a,..,04.03.73a, , ,
40392,04.03.75b,..,04.03.73b, , ,
40393,04.03.75c,..,04.03.73c, , ,
01197,04.03.76,..,04.03.74, , ,
01198,04.03.77,04.03.61, , , ,
01199,04.03.78a,04.03.62a, , , ,
05045,04.03.78b,04.03.62b, , , ,
05046,04.03.78c,04.03.62c, , , ,
01200,04.03.79,04.03.69, , , ,
01201,04.03.80,04.03.70, , , ,
01202,04.03.81,..,04.03.79, , ,
01203,04.03.82,..,04.03.80, , ,
01204,04.03.83,..,04.03.81, , ,
01205,04.03.84,..,04.03.82, , ,
82915,04.03.85a,..,..,..,..,new
82916,04.03.85b,..,..,..,..,new
82010,04.03.86,04.03.72, , , ,
80318,04.03.87a,..,04.03.83a, , ,
80430,04.03.87b,..,04.03.83b, , ,
02430,04.04.01a,04.05.01a, , , ,
05049,04.04.01b,04.05.01b, , , ,
05050,04.04.01c,04.05.01c, , , ,
05051,04.04.01d,04.05.01d, , , ,
05052,04.04.01e,04.05.01e, , , ,
02431,04.04.02a,04.05.02a, , , ,
05053,04.04.02b,04.05.02b, , , ,
05054,04.04.02c,04.05.02c, , , ,
02432,04.04.03a,04.05.03a, , , ,
05055,04.04.03b,04.05.03b, , , ,
05056,04.04.03c,04.05.03c, , , ,
02433,04.04.04a,04.05.04a, , , ,
05057,04.04.04b,04.05.04b, , , ,
05058,04.04.04c,04.05.04c, , , ,
05059,04.04.04d,04.05.04d, , , ,
05060,04.04.04e,04.05.04e, , , ,
05061,04.04.04f,04.05.04f, , , ,
82917,04.04.05,..,..,..,..,new
82918,04.04.06,..,..,..,..,new
80319,04.04.07,04.05.05, , , ,
80320,04.04.08,..,04.04.06, , ,
82919,04.04.09,..,..,..,..,new
82920,04.04.10,..,..,..,..,new
02438,04.04.11,04.05.07, , , ,
80321,04.04.12,04.05.08, , , ,
82921,04.04.13,..,..,..,..,new
82922,04.04.14,..,..,..,..,new
82923,04.04.15,..,..,..,..,new
02443,04.04.16,04.05.12, , , ,
80322,04.04.17,04.05.11, , , ,
80323,04.04.18,..,04.04.16, , ,
02446,04.04.19,04.05.13, , , ,
82924,04.04.20,..,..,..,..,new
82925,04.04.21,..,..,..,..,new
82926,04.04.22,..,..,..,..,new
82013,04.04.23,04.05.15, , , ,
82014,04.04.24,04.05.18, , , ,
02450,04.04.25,04.05.19, , , ,
82927,04.04.26,..,..,..,..,new
80324,04.04.27,..,04.04.23, , ,
80325,04.04.28,..,04.04.24, , ,
02454,04.04.29,..,04.04.27, , ,
02457,04.04.30,04.05.14, , , ,
82928,04.04.31,..,..,..,..,new
02459,04.04.32,04.05.20, , , ,
02458,04.04.33,..,04.04.31, , ,
02461,04.04.34,04.05.22, , , ,
02462,04.04.35,04.05.21, , , ,
82929,04.04.36,..,..,..,..,new
02464,04.04.37,04.05.23, , , ,
80326,04.04.38,04.05.24, , , ,
80327,04.04.39,04.05.25, , , ,
80328,04.04.40,04.05.26, , , ,
80329,04.04.41,04.05.27, , , ,
82930,04.04.42,..,..,..,..,new
02468,04.04.43,04.05.29, , , ,
02469,04.04.44,04.05.30, , , ,
02470,04.04.45,04.05.31, , , ,
02473,04.04.46,04.05.32, , , ,
02472,04.04.47,..,04.04.45, , ,
82931,04.04.48,..,..,..,..,new
80330,04.04.49,04.05.33, , , ,
02475,04.04.50,04.05.34, , , ,
82932,04.04.51,..,..,..,..,new
80331,04.04.52,04.05.36, , , ,
02478,04.04.53,04.05.37, , , ,
82933,04.04.54,..,..,..,..,new
